date,x1,x2,x3,x4,x5
1/1/2015,25.1,23.5,7,215,677
1/2/2015,26.9,25.3,0,210,677
1/3/2015,27.2,25.3,0,172,678
1/4/2015,27.7,25.5,0,195,677
1/5/2015,29,26.3,0,171,678
1/6/2015,29.1,26.5,0,158,679
1/7/2015,28,25.8,0,190,678
1/8/2015,28.5,26.7,2,166,679
1/9/2015,27.1,25,0,223,679
1/10/2015,26,25,0,209,680
1/11/2015,26.2,25.2,0,193,679
1/12/2015,27.5,25.9,0,194,680
1/13/2015,28.1,26.2,0,176,681
1/14/2015,27.7,25.6,0,175,681
1/15/2015,28.3,26,0,153,682
1/16/2015,27.6,25.7,1,170,681
1/17/2015,26.5,25.2,0,207,682
1/18/2015,23.4,22.5,13,319,682
1/19/2015,26.7,24.9,0,194,683
1/20/2015,29.7,27,0,161,684
1/21/2015,30,26.8,0,157,684
1/22/2015,29.1,26.6,0,204,685
1/23/2015,27.4,25.6,0,201,685
1/24/2015,26.9,25.4,0,233,686
1/25/2015,27.5,25.7,0,184,686
1/26/2015,27.3,25.5,0,195,687
1/27/2015,27.6,25.7,0,160,687
1/28/2015,29.2,26.8,0,166,688
1/29/2015,29,26.2,0,170,688
1/30/2015,28.1,26,0,181,689
1/31/2015,27.6,26.3,0,184,690
2/1/2015,27,25.6,0,218,691
2/2/2015,26.5,25.8,0,195,691
2/3/2015,26.4,25.4,0,198,692
2/4/2015,27,25.8,0,186,692
2/5/2015,27.4,25.9,0,176,693
2/6/2015,27.1,25.5,0,169,694
2/7/2015,28.5,26.6,0,157,694
2/8/2015,27.9,25.8,0,180,695
2/9/2015,28.1,26.1,0,178,696
2/10/2015,28,26,0,185,696
2/11/2015,28.1,25.7,1,179,697
2/12/2015,29,26.4,0,167,698
2/13/2015,28.5,26.2,3,169,698
2/14/2015,28.8,26.3,1,179,699
2/15/2015,30.1,27.2,0,161,700
2/16/2015,30,27.3,0,160,700
2/17/2015,29,27.1,0,177,702
2/18/2015,28.7,26.8,0,189,702
2/19/2015,28.1,26.1,0,199,703
2/20/2015,27.4,25.7,0,227,704
2/21/2015,28.2,26.5,0,203,704
2/22/2015,27.7,26.2,0,214,705
2/23/2015,26.9,25.8,0,214,705
2/24/2015,28.7,27,0,171,707
2/25/2015,29.7,27.2,0,153,708
2/26/2015,30.5,28,0,121,708
2/27/2015,30,27.8,0,145,709
2/28/2015,30,27.9,0,147,710
3/1/2015,28.7,27,0,158,711
3/2/2015,28.4,27.2,0,171,711
3/3/2015,28.8,27.2,0,165,713
3/4/2015,29.6,27.6,0,150,714
3/5/2015,29.1,27,2,160,715
3/6/2015,29.7,27.5,1,154,715
3/7/2015,30.2,27.9,0,153,716
3/8/2015,29.6,28,0,150,717
3/9/2015,28.4,27.1,0,152,717
3/10/2015,28.1,26.8,0,172,719
3/11/2015,27,24.8,11,229,720
3/12/2015,29.4,26.9,0,164,720
3/13/2015,29.3,27.2,0,170,721
3/14/2015,29.7,27.5,0,155,722
3/15/2015,30.3,28.1,0,149,722
3/16/2015,28.8,26.8,0,171,723
3/17/2015,28.3,27.2,0,164,724
3/18/2015,27.9,26.7,0,166,725
3/19/2015,29.7,27.8,0,139,726
3/20/2015,30.4,28,2,127,727
3/21/2015,32.3,28.3,3,123,728
3/22/2015,31.6,27.5,6,144,728
3/23/2015,30.7,27.2,4,166,729
3/24/2015,30.3,27.8,1,142,730
3/25/2015,30,27.8,2,157,730
3/26/2015,30.9,28.3,0,135,731
3/27/2015,31,28.7,0,126,733
3/28/2015,31.1,28.8,0,118,734
3/29/2015,30.9,28.8,0,133,734
3/30/2015,31.4,29,0,124,735
3/31/2015,32.3,29.4,0,110,736
4/1/2015,32.8,29,0,120,736
4/2/2015,32.2,29.3,0,113,737
4/3/2015,31.4,28.9,0,114,738
4/4/2015,32,29,0,101,738
4/5/2015,33.4,28.8,1,112,740
4/6/2015,34.5,30.4,0,84,741
4/7/2015,32,29.3,0,107,742
4/8/2015,31.3,29.1,0,113,742
4/9/2015,31.4,29,0,110,743
4/10/2015,31,28.6,0,118,744
4/11/2015,31.5,29,0,111,744
4/12/2015,31.4,29,0,104,745
4/13/2015,32.7,29.3,0,90,746
4/14/2015,32.4,29.3,0,112,747
4/15/2015,32,29.2,0,114,748
4/16/2015,34.1,29.9,0,89,748
4/17/2015,34.3,30.5,0,82,749
4/18/2015,34.4,30.4,0,84,750
4/19/2015,36.1,30.9,0,62,750
4/20/2015,36.2,30.7,0,65,752
4/21/2015,35.1,30,0,75,752
4/22/2015,33.9,30.3,0,70,753
4/23/2015,33.2,30.2,0,89,753
4/24/2015,32.8,29.6,0,94,754
4/25/2015,32.9,29.8,0,101,755
4/26/2015,32.8,29.9,0,95,756
4/27/2015,33.5,30,0,95,757
4/28/2015,33.6,30.2,0,91,757
4/29/2015,35.5,30.7,0,72,758
4/30/2015,35.6,30.4,0,70,759
5/1/2015,35.1,31.2,0,65,759
5/2/2015,35.1,31.1,0,58,760
5/3/2015,35.2,30.5,0,68,760
5/4/2015,35.3,30.5,0,75,761
5/5/2015,35,31,0,69,762
5/6/2015,35.8,31,0,61,763
5/7/2015,35.1,30.1,0,74,763
5/8/2015,35.7,30.8,0,61,763
5/9/2015,34.7,29.9,1,89,765
5/10/2015,35.8,29.7,0,89,765
5/11/2015,36.2,30.2,0,76,766
5/12/2015,36.8,31.1,0,47,767
5/13/2015,35.2,31.2,0,64,767
5/14/2015,34.7,31,0,64,767
5/15/2015,33.8,30.3,0,71,768
5/16/2015,34.9,31.2,0,64,769
5/17/2015,34.7,31,0,66,769
5/18/2015,33.4,30.3,0,77,769
5/19/2015,35.7,30.5,0,65,771
5/20/2015,36.4,30.5,0,62,771
5/21/2015,37.6,30.9,0,54,771
5/22/2015,37,30.5,0,68,772
5/23/2015,37.1,30,0,77,772
5/24/2015,37.6,30.4,1,66,773
5/25/2015,37.6,30.8,0,60,773
5/26/2015,36.8,30.7,1,55,774
5/27/2015,35.3,29.8,1,78,774
5/28/2015,35.2,30,0,65,774
5/29/2015,36.1,30.6,0,65,775
5/30/2015,35.1,29.7,4,88,775
5/31/2015,35.3,30.2,0,63,775
6/1/2015,36.5,31.8,0,49,776
6/2/2015,36.9,31.9,0,42,776
6/3/2015,35.9,30.8,0,58,776
6/4/2015,36,30.6,1,63,777
6/5/2015,35.3,30.7,0,65,777
6/6/2015,36.8,31.4,0,48,777
6/7/2015,36.7,30.8,0,61,778
6/8/2015,36,30.9,0,61,778
6/9/2015,36.7,30.1,0,74,778
6/10/2015,37,30.5,0,59,778
6/11/2015,36.9,30.9,0,55,779
6/12/2015,36.3,31.2,0,55,778
6/13/2015,36.1,31.3,0,50,778
6/14/2015,36.4,31.4,0,49,779
6/15/2015,36.4,31.4,1,55,779
6/16/2015,36,30.8,0,59,779
6/17/2015,36,30.4,6,64,779
6/18/2015,34.7,28.7,2,111,779
6/19/2015,36.1,29.4,2,83,779
6/20/2015,34.5,28.5,7,108,779
6/21/2015,33.3,27.9,5,119,779
6/22/2015,34.2,29.2,0,92,780
6/23/2015,34.2,29.1,5,105,779
6/24/2015,35.6,30,0,80,779
6/25/2015,36.2,30.2,0,72,779
6/26/2015,36.1,29.9,1,82,779
6/27/2015,35.8,29.9,2,72,778
6/28/2015,35.8,29.8,1,72,779
6/29/2015,35.8,29.6,2,82,779
6/30/2015,34.7,29,2,113,779
7/1/2015,36.5,29.9,1,89,779
7/2/2015,36.1,29.5,0,94,778
7/3/2015,35.5,29.5,0,103,778
7/4/2015,35.3,28.8,9,123,777
7/5/2015,30.1,25.5,19,224,777
7/6/2015,27.6,24.5,18,229,777
7/7/2015,33.2,27.6,5,144,777
7/8/2015,31.6,26.4,19,160,776
7/9/2015,30.3,25.8,16,184,776
7/10/2015,31.4,26.6,13,179,776
7/11/2015,32.1,27.5,9,165,775
7/12/2015,34.1,28.6,2,131,775
7/13/2015,34.9,29.3,0,104,775
7/14/2015,35.6,29.8,0,89,775
7/15/2015,36.6,30.1,1,85,774
7/16/2015,34.5,29,2,112,774
7/17/2015,34.2,29.1,1,97,774
7/18/2015,34.9,29.7,0,61,773
7/19/2015,36,30.1,0,66,772
7/20/2015,34.7,29.7,1,80,772
7/21/2015,34.1,30,0,58,771
7/22/2015,32.6,28.2,8,126,771
7/23/2015,32.8,28,2,124,771
7/24/2015,33.9,28.4,1,140,770
7/25/2015,33.4,28,7,114,769
7/26/2015,31.6,27.7,4,126,769
7/27/2015,31.5,27.7,1,132,769
7/28/2015,32.3,28.5,2,98,768
7/29/2015,33,28.6,0,98,767
7/30/2015,32.6,28.6,3,98,767
7/31/2015,33.6,29.7,1,82,766
8/1/2015,32.3,28.7,0,112,766
8/2/2015,33.6,29.2,0,89,765
8/3/2015,34.9,29.8,0,77,764
8/4/2015,34.4,29,2,96,764
8/5/2015,34.4,28.6,1,106,763
8/6/2015,35.3,28.6,2,107,763
8/7/2015,35.1,29.4,1,108,762
8/8/2015,35.3,29.2,1,115,761
8/9/2015,33.1,27.4,10,129,761
8/10/2015,34.2,28,1,132,760
8/11/2015,35,29.1,0,85,760
8/12/2015,34.7,28.1,4,94,758
8/13/2015,35,28.7,2,79,758
8/14/2015,34.6,29.1,2,109,757
8/15/2015,36.9,29.8,1,70,756
8/16/2015,37.1,30.3,0,72,756
8/17/2015,36.2,29.8,1,81,755
8/18/2015,34.8,29,2,100,754
8/19/2015,33.6,28.9,2,96,753
8/20/2015,33.4,28,8,178,753
8/21/2015,32.1,26.7,16,217,752
8/22/2015,32.9,27.1,11,195,751
8/23/2015,31.8,26.9,12,168,751
8/24/2015,32.8,27.1,8,143,750
8/25/2015,33,27.6,1,121,749
8/26/2015,34.4,28.7,0,94,749
8/27/2015,34.1,28.6,2,119,748
8/28/2015,33.6,28.1,3,92,746
8/29/2015,32.6,27.3,12,136,746
8/30/2015,32.8,28,6,125,745
8/31/2015,32.7,28.3,0,123,744
9/1/2015,33.9,29,2,95,744
9/2/2015,35.3,29,0,101,743
9/3/2015,35.6,29.5,2,89,742
9/4/2015,35.5,29.5,1,93,741
9/5/2015,32.8,27.9,2,125,741
9/6/2015,34.7,28.4,3,96,740
9/7/2015,35.5,28.8,0,104,739
9/8/2015,35.1,29,4,84,739
9/9/2015,35.4,28.6,2,109,738
9/10/2015,33.2,27.3,10,143,737
9/11/2015,32.9,27.4,2,133,736
9/12/2015,33.7,28.2,7,108,735
9/13/2015,33.4,27.5,4,136,734
9/14/2015,32.9,27.7,2,132,733
9/15/2015,34.1,28.3,1,109,732
9/16/2015,33.7,28.1,1,134,732
9/17/2015,33.6,27.8,1,117,731
9/18/2015,33.8,28.3,2,114,730
9/19/2015,34.7,29.5,0,67,729
9/20/2015,33.9,28.7,1,93,729
9/21/2015,34,28.4,2,100,728
9/22/2015,34.7,28.4,2,98,727
9/23/2015,34.3,28.1,2,119,726
9/24/2015,35.3,28.7,3,105,725
9/25/2015,35.7,29,1,106,725
9/26/2015,35.8,29.1,2,98,724
9/27/2015,36.2,28.7,4,132,723
9/28/2015,33.6,27.6,4,161,723
9/29/2015,34.5,28.5,1,97,722
9/30/2015,35.6,29.2,3,68,721
10/1/2015,32.9,27.2,14,156,721
10/2/2015,30.5,26.2,19,180,719
10/3/2015,34,29.2,0,86,718
10/4/2015,32,26.9,7,126,717
10/5/2015,33.2,27.9,2,115,717
10/6/2015,34.8,28.6,0,107,716
10/7/2015,34.9,29.1,3,88,715
10/8/2015,35,29,2,93,714
10/9/2015,34.3,28.9,0,92,714
10/10/2015,35.1,29.4,1,97,713
10/11/2015,34.5,29.2,2,94,711
10/12/2015,35.3,28.6,2,91,711
10/13/2015,33.8,28.4,6,128,710
10/14/2015,33.8,28,2,112,710
10/15/2015,33.2,28.9,0,90,709
10/16/2015,32.1,28.2,3,134,708
10/17/2015,34.2,27.7,16,131,707
10/18/2015,34.8,27.8,23,201,706
10/19/2015,35.2,28,10,188,706
10/20/2015,33.4,28.4,0,166,705
10/21/2015,32.7,28.6,0,146,705
10/22/2015,32.9,27.7,0,150,703
10/23/2015,32.2,27.9,0,132,703
10/24/2015,32.1,28.3,0,86,702
10/25/2015,34.1,29.2,0,81,702
10/26/2015,34.3,29.8,0,85,700
10/27/2015,33.7,29.2,0,82,700
10/28/2015,31.9,29,0,99,699
10/29/2015,31.2,28.8,0,98,699
10/30/2015,33,29.2,0,83,697
10/31/2015,32.5,28.9,1,95,697
11/1/2015,32.1,28.1,0,113,697
11/2/2015,32.9,28.7,5,96,695
11/3/2015,33.2,28.9,1,94,695
11/4/2015,34,29.5,0,85,695
11/5/2015,34.1,29.4,2,76,693
11/6/2015,33.9,29.6,0,88,693
11/7/2015,33.7,29.4,0,80,693
11/8/2015,33.7,29.4,0,83,691
11/9/2015,31.7,27.5,5,128,691
11/10/2015,32.9,29,0,92,690
11/11/2015,32.3,29,1,115,690
11/12/2015,33,29,0,101,690
11/13/2015,32.6,29.1,0,97,688
11/14/2015,32.5,29.1,0,89,688
11/15/2015,32.3,28.4,3,105,687
11/16/2015,33.5,29,2,103,687
11/17/2015,33.3,29.5,0,80,686
11/18/2015,32.3,28.1,4,120,686
11/19/2015,32.1,29.2,0,91,685
11/20/2015,31.3,28.5,0,114,685
11/21/2015,31.7,29,0,95,684
11/22/2015,32.6,29,0,92,684
11/23/2015,31.6,28,0,101,683
11/24/2015,31.3,28,2,121,683
11/25/2015,32.4,28.8,0,96,682
11/26/2015,31,28.3,0,109,682
11/27/2015,31.1,28.3,0,114,681
11/28/2015,32.2,28.4,1,118,681
11/29/2015,32.6,28.6,3,109,681
11/30/2015,32.5,28.8,0,108,681
12/1/2015,31.4,27.7,3,130,681
12/2/2015,31.2,28,0,108,679
12/3/2015,30.8,28.3,0,109,679
12/4/2015,31.3,28.7,0,110,679
12/5/2015,31.5,27.4,3,147,679
12/6/2015,33.1,28.7,0,124,678
12/7/2015,33.2,29.2,0,93,678
12/8/2015,32.8,29,0,105,678
12/9/2015,32.8,29.1,1,111,678
12/10/2015,33.8,29.5,0,82,677
12/11/2015,33.2,28.6,0,105,677
12/12/2015,32,28.3,0,120,677
12/13/2015,32.3,28.5,0,104,677
12/14/2015,31.3,27.6,6,133,677
12/15/2015,30.1,25.8,18,223,676
12/16/2015,30.9,26,15,215,677
12/17/2015,27.3,25.5,5,214,676
12/18/2015,28.8,26,7,189,677
12/19/2015,26.6,23.8,17,217,676
12/20/2015,30.4,26.7,1,162,677
12/21/2015,31.2,27.6,0,140,676
12/22/2015,31.1,27.7,1,154,677
12/23/2015,29.9,27.5,0,137,676
12/24/2015,30.6,27.6,0,129,677
12/25/2015,29.9,27.1,0,133,676
12/26/2015,29.1,26.8,0,158,677
12/27/2015,29.2,26.7,0,156,676
12/28/2015,28.2,26.3,0,171,677
12/29/2015,28.8,26.6,0,152,676
12/30/2015,29.5,27.2,0,137,677
12/31/2015,29,26,7,143,678
1/1/2016,30,26.5,9,150,677
1/2/2016,31.4,27.7,0,142,677
1/3/2016,31,27.7,0,141,678
1/4/2016,30.5,27.9,0,121,677
1/5/2016,30,27.4,0,134,678
1/6/2016,29.7,27.1,1,141,679
1/7/2016,30.3,27.7,1,139,678
1/8/2016,30.3,27.4,0,137,679
1/9/2016,30.2,27.1,0,164,679
1/10/2016,30.2,27.6,0,138,680
1/11/2016,31.2,28.3,0,129,679
1/12/2016,31.4,28.4,0,130,680
1/13/2016,30.6,27.9,0,120,681
1/14/2016,31,27.8,0,134,681
1/15/2016,30.7,27.9,0,124,682
1/16/2016,30.7,27.8,0,131,681
1/17/2016,31.1,28.2,0,139,682
1/18/2016,31.2,27.9,0,121,682
1/19/2016,31.8,28.5,1,131,683
1/20/2016,31.1,28.1,1,141,684
1/21/2016,31,28.3,0,139,684
1/22/2016,30.8,27.7,0,136,685
1/23/2016,31.5,28.2,0,125,685
1/24/2016,29.9,27.3,0,133,686
1/25/2016,28.4,27,1,177,686
1/26/2016,28.2,26.5,1,206,687
1/27/2016,28.5,26.7,0,178,687
1/28/2016,30.4,28,0,139,688
1/29/2016,30.5,27.3,0,135,688
1/30/2016,31.7,28,0,107,689
1/31/2016,31.8,28.5,0,130,690
2/1/2016,30.9,28.3,0,121,691
2/2/2016,30.1,28,0,124,691
2/3/2016,30.1,27.4,0,149,692
2/4/2016,31.7,27.9,0,132,692
2/5/2016,32.8,28,0,126,693
2/6/2016,29.2,25.3,13,192,694
2/7/2016,27.7,25.5,0,186,694
2/8/2016,27.3,25.7,0,189,695
2/9/2016,27.9,26,1,190,696
2/10/2016,29.7,27.4,0,153,696
2/11/2016,29.4,27.2,0,163,697
2/12/2016,30,27.5,0,168,698
2/13/2016,29.9,27.9,0,151,698
2/14/2016,30.1,27.7,0,123,699
2/15/2016,29.4,27.3,1,147,700
2/16/2016,29.8,27.5,0,160,700
2/17/2016,29.1,27,0,140,702
2/18/2016,28.9,26.7,1,167,702
2/19/2016,29.6,27.4,0,133,703
2/20/2016,29.7,27.5,0,141,704
2/21/2016,29.9,27.4,0,124,704
2/22/2016,31,28.2,0,139,705
2/23/2016,30.2,28.1,0,123,705
2/24/2016,30,28.1,0,129,707
2/25/2016,29.5,27.6,1,145,708
2/26/2016,28.7,26.2,7,163,708
2/27/2016,29.6,28.1,0,115,709
2/28/2016,29.6,27.1,5,149,710
2/29/2016,30.2,27.5,0,143,711
3/1/2016,29.6,27.4,0,155,711
3/2/2016,28.9,27.1,1,156,711
3/3/2016,30.3,27.7,0,115,713
3/4/2016,30.2,26.8,2,162,714
3/5/2016,32.6,28.4,0,98,715
3/6/2016,33.7,28.7,0,78,715
3/7/2016,34.7,29.9,0,72,716
3/8/2016,33.4,29.7,0,98,717
3/9/2016,33.3,29.6,0,100,717
3/10/2016,34.3,30.1,0,85,719
3/11/2016,32.9,29.1,0,104,720
3/12/2016,32.4,29.1,0,120,720
3/13/2016,31.9,29.1,0,113,721
3/14/2016,31.7,29,0,102,722
3/15/2016,32.1,28.8,0,106,722
3/16/2016,32.8,29.5,0,92,723
3/17/2016,32.4,29.2,0,109,724
3/18/2016,33.1,29.5,0,99,725
3/19/2016,32.6,29.7,0,94,726
3/20/2016,31.9,29.3,0,94,727
3/21/2016,32.1,29.3,0,104,728
3/22/2016,32.7,29.5,0,103,728
3/23/2016,33.1,30.1,0,76,729
3/24/2016,33.5,30.2,0,76,730
3/25/2016,34,30.3,0,72,730
3/26/2016,32.4,29.2,0,111,731
3/27/2016,31,28.3,0,139,733
3/28/2016,30.2,27.8,4,149,734
3/29/2016,30.7,28.2,0,138,734
3/30/2016,32.4,29.2,0,113,735
3/31/2016,33,29.4,0,101,736
4/1/2016,33.8,29.8,0,93,736
4/2/2016,33.3,30,0,92,737
4/3/2016,32.7,29.7,0,93,738
4/4/2016,32.4,29.7,0,91,738
4/5/2016,32.7,29.2,1,104,740
4/6/2016,33.1,29.9,0,97,741
4/7/2016,34.1,30.3,0,83,742
4/8/2016,34,30.3,0,80,742
4/9/2016,33.6,30.2,0,90,743
4/10/2016,33.4,30.5,0,79,744
4/11/2016,34.5,30.7,0,67,744
4/12/2016,35.6,31.2,0,61,745
4/13/2016,36.7,30.5,0,62,746
4/14/2016,37,30.9,0,53,747
4/15/2016,38.8,32,0,41,748
4/16/2016,37.4,31.7,0,54,748
4/17/2016,35.2,31,0,68,749
4/18/2016,35,31,0,64,750
4/19/2016,35,30.9,0,67,750
4/20/2016,34.8,30.9,0,69,752
4/21/2016,34.9,31,0,70,752
4/22/2016,34.9,31,0,65,753
4/23/2016,34.1,30.9,0,61,753
4/24/2016,35.1,31.2,0,63,754
4/25/2016,35.4,31.2,0,61,755
4/26/2016,34.4,30.8,0,71,756
4/27/2016,35,31,0,63,757
4/28/2016,36.9,30.5,2,54,757
4/29/2016,37.3,30.5,0,48,758
4/30/2016,37.9,31.7,0,50,759
5/1/2016,38.3,32,0,41,759
5/2/2016,37.4,32,0,45,760
5/3/2016,37,32,0,47,760
5/4/2016,36,31.7,0,47,761
5/5/2016,35.9,31.3,0,48,762
5/6/2016,36.6,31.7,0,55,763
5/7/2016,35.7,31.4,0,59,763
5/8/2016,36,31.6,0,54,763
5/9/2016,36.6,31.7,0,56,765
5/10/2016,36.4,32,0,50,765
5/11/2016,37.5,31.5,0,51,766
5/12/2016,37,31.3,2,51,767
5/13/2016,35.9,31.6,0,56,767
5/14/2016,35.8,31.3,0,57,767
5/15/2016,36,31.2,0,60,768
5/16/2016,36.3,31.2,1,53,769
5/17/2016,36.5,30.5,3,67,769
5/18/2016,36.8,30.1,4,83,769
5/19/2016,35.7,29.8,3,79,771
5/20/2016,36.1,29.3,5,90,771
5/21/2016,37.3,30.6,2,53,771
5/22/2016,36.8,30.3,0,69,772
5/23/2016,37.6,30.2,0,65,772
5/24/2016,37.4,30.3,2,60,773
5/25/2016,35.3,29.1,7,98,773
5/26/2016,36.2,29.6,1,74,774
5/27/2016,37.3,30.3,1,69,774
5/28/2016,38,30.4,1,60,774
5/29/2016,37.9,29.7,1,68,775
5/30/2016,37.1,30.5,0,59,775
5/31/2016,36.2,29.3,2,82,775
6/1/2016,35.5,28.9,1,103,776
6/2/2016,36.4,29.1,2,73,776
6/3/2016,37.4,29.6,0,71,776
6/4/2016,38.2,30.4,0,60,777
6/5/2016,38.4,31,0,58,777
6/6/2016,35.5,29.5,7,93,777
6/7/2016,34.8,28.8,3,93,778
6/8/2016,36.1,28.7,2,99,778
6/9/2016,36.1,29.1,1,81,778
6/10/2016,37.2,29.5,2,68,778
6/11/2016,38.2,30,1,50,779
6/12/2016,35.2,28.8,1,69,778
6/13/2016,37,29.5,0,71,778
6/14/2016,36.9,30,1,60,779
6/15/2016,37.9,30.3,1,45,779
6/16/2016,37.1,29.9,0,47,779
6/17/2016,36.1,30.2,2,56,779
6/18/2016,36.3,30.6,2,58,779
6/19/2016,36.8,30.7,3,54,779
6/20/2016,37,30.5,1,64,779
6/21/2016,36.3,30.3,0,66,779
6/22/2016,35.3,29.6,0,67,780
6/23/2016,35.8,29.5,5,76,779
6/24/2016,35.6,29.5,2,83,779
6/25/2016,36.3,30.2,0,51,779
6/26/2016,34.9,28.4,7,89,779
6/27/2016,33.2,27.8,4,96,778
6/28/2016,35.6,29.2,1,72,779
6/29/2016,35.1,28.6,6,80,779
6/30/2016,34.2,28.8,4,74,779
7/1/2016,36,30.2,0,43,779
7/2/2016,34.5,29.5,0,75,778
7/3/2016,33.5,27.7,6,85,778
